Entity,Year,Lifeexpectancy,Race,Sex,Avg_Life_Expec,Age_Adj_Death_Rate
Japan,1948,56.889999,Black,Female,51.3,2475
Japan,1949,57.759998,Black,Female,45.2,2756.2
Japan,1950,59.299999,Black,Female,44.4,2663.2
Japan,1951,60.990002,Black,Female,32.5,3304.3
Japan,1952,63.029999,Black,Female,40.8,2970.6
Japan,1953,63.369999,Black,Female,43.1,2853.6
Japan,1954,64.610001,Black,Female,40.5,2948.8
Japan,1955,65.769997,Black,Female,40.8,2810.1
Japan,1956,65.629997,Black,Female,40.3,2802.7
Japan,1957,65.5,Black,Female,40,2807.7
Japan,1958,67.120003,Black,Female,38.2,2899.8
Japan,1959,67.510002,Black,Female,37.5,2875.3
Japan,1960,67.800003,White,Male,47.6,2544.7
